EIN,NAME,TAXYEAR,TAXYRSTART,TAXYREND,AddressLine1Txt,CityNm,StateAbbreviationCd,ZIPCd,DonorAdvisedFundsHeldCnt,DonorAdvisedFundsContriAmt,DonorAdvisedFundsGrantsAmt,DonorAdvisedFundsVlEOYAmt,DisclosedOrgLegCtrlInd,DisclosedForCharitablePrpsInd,FundsAndOtherAccountsHeldCnt,FundsAndOtherAccountsContriAmt,FundsAndOtherAccountsGrantsAmt,FundsAndOtherAccountsVlEOYAmt
746054628,WACO FOUNDATION,2017,4/1/2017,3/31/2018,1227 N VALLEY MILLS DR STE 235,WACO,TX,76710,61,976305,1165595,6861030,1,1,154,2831501,1815106,79364315
340753533,GRAND RIVER ACADEMY,2017,7/1/2017,6/30/2018,3042 COLLEGE STREET,AUSTINBURG,OH,44010,1,364918,,,0,0,,,,
474844275,THE DONORS FUND,2017,1/1/2017,12/31/2017,328 3RD STREET,LAKEWOOD,NJ,8701,657,6161686,5052479,1184493,1,1,,,,
593652538,RAYMOND JAMES CHARITABLE ENDOWMENT FUND C/O RAYMOND JAMES TRUST NA TRUSTEE,2017,4/1/2017,3/31/2018,PO BOX 23559,ST PETERSBURG,FL,337423559,3665,171971248,84398681,535725125,1,1,58,941191,128665,14927025
251159382,HOYT CENTER FOR THE ARTS,2017,7/1/2017,6/30/2018,101 E WINTER AVE,NEW CASTLE,PA,16101,1,,,494888,1,0,,,,
202351623,BARREN COUNTY EDUCATIONAL FOUNDATION INC,2017,7/1/2017,6/30/2018,202 WEST WASHINGTON STREET,GLASGOW,KY,42141,1,80414,0,311025,1,1,1,314494,16695,335514
521326014,COMMUNITY FOUNDATION OF THE EASTERN SHORE INC,2017,7/1/2017,6/30/2018,1324 BELMONT AVENUE NO 401,SALISBURY,MD,218044558,127,1325907,1087525,18122142,1,1,,,,
203896774,ROBERT AND PATRICIA ENDRIES FAMILY FOUNDATION LTD,2017,7/1/2017,6/30/2018,4455 W LAWRENCE ST,APPLETON,WI,54914,1,,8500,240339,1,1,2,20000,301717,4774375
710582373,SOUTH ARKANSAS COMMUNITY COLLEGE FOUNDATION INC,2017,7/1/2017,6/30/2018,300 SOUTH WEST AVENUE,EL DORADO,AR,71730,,,,,1,1,,,,
416029402,THE MINNEAPOLIS FOUNDATION,2017,4/1/2017,3/31/2018,800 IDS CENTER 80 S EIGHTH ST,MINNEAPOLIS,MN,55402,821,89488164,48722649,388432408,1,1,394,18875016,24301275,361938197
